26.09.15 13:59
Projektstatistik

                     	Segmente	Wörter	Zeichen (ohne Leerzeichen)	Zeichen (mit Leerzeichen)	#Files	
Gesamt:              	    2327	  9128	                     66387	                    72089	    95	
Verbleibend:         	       5	    16	                       101	                      112	     1	
Einmalig:            	    1923	  8392	                     60719	                    66099	    94	
Verbleibend einmalig:	       5	    16	                       101	                      112	     1	


Statistik einzelner Dateien:

Dateiname                                                                                                                                	Segmente Gesamt	Verbleibende Segmente	Einmalige Segmente	Verbleibende einmalige Segmente	Wörter Gesamt	Verbleibende Wörter:	Einmalige Wörter	Verbleibende einmalige Wörter	Zeichen Gesamt (ohne Leerzeichen)	Verbleibende Zeichen (ohne Leerzeichen)	Einmalige Zeichen (ohne Leerzeichen)	Verbleibende einmalige Zeichen (ohne Leerzeichen)	Zeichen Gesamt (mit Leerzeichen)	Verbleibende Zeichen (mit Leerzeichen)	Einmalige Zeichen (mit Leerzeichen)	Verbleibende einmalige Zeichen (mit Leerzeichen)	
Modules/Exif/src/org/jphototagger/exifmodule/comparators/Bundle.properties                                                               	              8	                    0	                 8	                              0	           20	                   0	              20	                            0	                              220	                                      0	                                 220	                                                0	                             232	                                     0	                                232	                                               0	
Modules/FileEventHooks/src/org/jphototagger/fileeventhooks/Bundle.properties                                                             	             34	                    0	                25	                              0	          236	                   0	             191	                            0	                             1525	                                      0	                                1269	                                                0	                            1704	                                     0	                               1412	                                               0	
Modules/FindDuplicates/src/org/jphototagger/findduplicates/Bundle.properties                                                             	             23	                    0	                20	                              0	           99	                   0	              91	                            0	                              654	                                      0	                                 599	                                                0	                             730	                                     0	                                670	                                               0	
Modules/ImportFiles/src/org/jphototagger/importfiles/Bundle.properties                                                                   	             35	                    0	                26	                              0	          150	                   0	             132	                            0	                             1143	                                      0	                                1001	                                                0	                            1247	                                     0	                               1096	                                               0	
Modules/ImportFiles/src/org/jphototagger/importfiles/filerenamers/Bundle.properties                                                      	              2	                    0	                 2	                              0	           15	                   0	              15	                            0	                               98	                                      0	                                  98	                                                0	                             107	                                     0	                                107	                                               0	
Modules/ImportFiles/src/org/jphototagger/importfiles/subdircreators/Bundle.properties                                                    	              3	                    0	                 3	                              0	           36	                   0	              36	                            0	                              221	                                      0	                                 221	                                                0	                             246	                                     0	                                246	                                               0	
Modules/Iptc/src/org/jphototagger/iptcmodule/Bundle.properties                                                                           	             24	                    0	                18	                              0	          107	                   0	              99	                            0	                              756	                                      0	                                 698	                                                0	                             828	                                     0	                                768	                                               0	
Modules/Iptc/src/org/jphototagger/iptcmodule/IptcRecordDataSetNumberTranslations.properties                                              	             77	                    0	                67	                              0	          152	                   0	             140	                            0	                             1044	                                      0	                                 942	                                                0	                            1116	                                     0	                               1014	                                               0	
Modules/Maintainance/src/org/jphototagger/maintainance/Bundle.properties                                                                 	            101	                    0	                95	                              0	          516	                   0	             506	                            0	                             3738	                                      0	                                3669	                                                0	                            4082	                                     0	                               4009	                                               0	
Modules/RepositoryFileBrowser/src/org/jphototagger/repositoryfilebrowser/Bundle.properties                                               	             24	                    0	                21	                              0	           61	                   0	              55	                            0	                              457	                                      0	                                 414	                                                0	                             494	                                     0	                                448	                                               0	
Modules/Synonyms/src/org/jphototagger/synonyms/Bundle.properties                                                                         	             28	                    0	                27	                              0	          129	                   0	             128	                            0	                              814	                                      0	                                 806	                                                0	                             905	                                     0	                                897	                                               0	
Modules/UserDefinedFileFilters/src/org/jphototagger/userdefinedfilters/Bundle.properties                                                 	             24	                    0	                19	                              0	           80	                   0	              73	                            0	                              671	                                      0	                                 592	                                                0	                             714	                                     0	                                633	                                               0	
Modules/UserDefinedFileTypes/src/org/jphototagger/userdefinedfiletypes/Bundle.properties                                                 	             20	                    0	                12	                              0	           73	                   0	              51	                            0	                              649	                                      0	                                 434	                                                0	                             686	                                     0	                                463	                                               0	
