02.02.13 22:19
Projektstatistik

                                 	Segmente	Wörter	Zeichen (ohne Leerzeichen)	Zeichen (mit Leerzeichen)	
Insgesamt:                       	    2454	  9643	                     55779	                    61929	
Verbleibend:                     	    2454	  9643	                     55779	                    61929	
Eindeutig:                       	    1972	  8645	                     49867	                    55533	
Verbleibende eindeutige Segmente:	    1972	  8645	                     49867	                    55533	


Statistik einzelner Dateien:

Dateiname                                                                                      	Segmente gesamt	Verbleibende Segmente	Eindeutige Segmente	Eindeutige verbleibende Segmente	Wörter gesamt:	Verbleibende Wörter:	Eindeutige Wörter	Eindeutige verbleibende Wörter	Zeichen gesamt (ohne Leerzeichen)	Verbleibende Zeichen (ohne Leerzeichen)	Eindeutige Zeichen (ohne Leerzeichen)	Eindeutige verbleibende Zeichen (ohne Leerzeichen)	Zeichen gesamt (mit Leerzeichen)	Verbleibende Zeichen (mit Leerzeichen)	Eindeutige Zeichen (mit Leerzeichen)	Eindeutige verbleibende Zeichen (mit Leerzeichen)	
Localization/src/org/jphototagger/lib/swing/Bundle.properties                                  	             57	                   57	                 48	                              48	           141	                 141	              129	                           129	                              792	                                    792	                                  714	                                               714	                             868	                                   868	                                 787	                                              787	
Localization/src/org/jphototagger/lib/swing/inputverifier/Bundle.properties                    	              8	                    8	                  6	                               6	            37	                  37	               29	                            29	                              159	                                    159	                                  118	                                               118	                             189	                                   189	                                 142	                                              142	
Localization/src/org/jphototagger/lib/swingx/Bundle.properties                                 	              3	                    3	                  3	                               3	             9	                   9	                9	                             9	                               40	                                     40	                                   40	                                                40	                              46	                                    46	                                  46	                                               46	
Localization/src/org/jphototagger/lib/thirdparty/Bundle.properties                             	              3	                    3	                  2	                               2	             4	                   4	                3	                             3	                               18	                                     18	                                   12	                                                12	                              19	                                    19	                                  13	                                               13	
Localization/src/org/jphototagger/lib/util/logging/Bundle.properties                           	             25	                   25	                 21	                              21	            67	                  67	               63	                            63	                              345	                                    345	                                  318	                                               318	                             382	                                   382	                                 355	                                              355	
Localization/src/org/jphototagger/maintainance/Bundle.properties                               	            101	                  101	                 95	                              95	           507	                 507	              499	                           499	                             3002	                                   3002	                                 2950	                                              2950	                            3340	                                  3340	                                3286	                                             3286	
Localization/src/org/jphototagger/plugin/cftc/Bundle.properties                                	             10	                   10	                 10	                              10	            39	                  39	               39	                            39	                              232	                                    232	                                  232	                                               232	                             253	                                   253	                                 253	                                              253	
Localization/src/org/jphototagger/plugin/flickrupload/Bundle.properties                        	             29	                   29	                 21	                              21	           146	                 146	              135	                           135	                              859	                                    859	                                  780	                                               780	                             951	                                   951	                                 870	                                              870	
Localization/src/org/jphototagger/plugin/htmlreports/Bundle.properties                         	             18	                   18	                 16	                              16	           100	                 100	               98	                            98	                              519	                                    519	                                  504	                                               504	                             593	                                   593	                                 578	                                              578	
Localization/src/org/jphototagger/plugin/iviewsshow/Bundle.properties                          	              9	                    9	                  9	                               9	            66	                  66	               66	                            66	                              418	                                    418	                                  418	                                               418	                             462	                                   462	                                 462	                                              462	
Localization/src/org/jphototagger/program/app/Bundle.properties                                	             21	                   21	                 20	                              20	           197	                 197	              195	                           195	                             1174	                                   1174	                                 1159	                                              1159	                            1298	                                  1298	                                1282	                                             1282	
Localization/src/org/jphototagger/program/app/logging/Bundle.properties                        	             15	                   15	                 14	                              14	            62	                  62	               61	                            61	                              331	                                    331	                                  324	                                               324	                             378	                                   378	                                 371	                                              371	
Localization/src/org/jphototagger/program/app/ui/Bundle.properties                             	             53	                   53	                 41	                              41	           105	                 105	               90	                            90	                              734	                                    734	                                  627	                                               627	                             783	                                   783	                                 673	                                              673	
Localization/src/org/jphototagger/program/app/update/Bundle.properties                         	             11	                   11	                 11	                              11	           153	                 153	              153	                           153	                              850	                                    850	                                  850	                                               850	                             951	                                   951	                                 951	                                              951	
Localization/src/org/jphototagger/program/Bundle.properties                                    	              2	                    2	                  1	                               1	            34	                  34	               33	                            33	                              160	                                    160	                                  155	                                               155	                             180	                                   180	                                 175	                                              175	
Localization/src/org/jphototagger/program/event/listener/Bundle.properties                     	              2	                    2	                  2	                               2	             6	                   6	                6	                             6	                               30	                                     30	                                   30	                                                30	                              34	                                    34	                                  34	                                               34	
Localization/src/org/jphototagger/program/factory/Bundle.properties                            	             35	                   35	                 35	                              35	           143	                 143	              143	                           143	                              854	                                    854	                                  854	                                               854	                             962	                                   962	                                 962	                                              962	
Localization/src/org/jphototagger/program/filefilter/Bundle.properties                         	             13	                   13	                 11	                              11	            34	                  34	               28	                            28	                              156	                                    156	                                  121	                                               121	                             177	                                   177	                                 138	                                              138	
Localization/src/org/jphototagger/program/help/Bundle.properties                               	             17	                   17	                 16	                              16	           151	                 151	              150	                           150	                              957	                                    957	                                  948	                                               948	                            1037	                                  1037	                                1028	                                             1028	
Localization/src/org/jphototagger/program/misc/Bundle.properties                               	             62	                   62	                 56	                              56	           571	                 571	              556	                           556	                             3360	                                   3360	                                 3256	                                              3256	                            3739	                                  3739	                                3626	                                             3626	
Localization/src/org/jphototagger/program/module/actions/Bundle.properties                     	             37	                   37	                 31	                              31	            96	                  96	               88	                            88	                              579	                                    579	                                  532	                                               532	                             626	                                   626	                                 577	                                              577	
Localization/src/org/jphototagger/program/module/directories/Bundle.properties                 	              9	                    9	                  4	                               4	            21	                  21	                9	                             9	                              117	                                    117	                                   54	                                                54	                             129	                                   129	                                  59	                                               59	
Localization/src/org/jphototagger/program/module/editmetadata/Bundle.properties                	             55	                   55	                 36	                              36	           220	                 220	              177	                           177	                             1193	                                   1193	                                  980	                                               980	                            1346	                                  1346	                                1109	                                             1109	
